Country,Clicks,Impressions,CTR,Position
United States,3,769,0.39%,27.24
Canada,0,14,0%,49.43
Brazil,0,10,0%,30
India,0,8,0%,13.75
Philippines,0,7,0%,31.86
United Kingdom,0,7,0%,34.86
Argentina,0,6,0%,13
Colombia,0,4,0%,8.25
Mexico,0,3,0%,7.67
Turkey,0,3,0%,8.67
France,0,3,0%,9
Netherlands,0,3,0%,29.67
Indonesia,0,3,0%,50.67
St. Kitts & Nevis,0,2,0%,1
Trinidad & Tobago,0,2,0%,8.5
Peru,0,2,0%,27
Vietnam,0,2,0%,36.5
Germany,0,1,0%,1
Egypt,0,1,0%,1
Spain,0,1,0%,1
Moldova,0,1,0%,3
Guyana,0,1,0%,4
Chile,0,1,0%,5
Costa Rica,0,1,0%,7
Italy,0,1,0%,7
Greece,0,1,0%,8
Belgium,0,1,0%,9
El Salvador,0,1,0%,9
Denmark,0,1,0%,11
Pakistan,0,1,0%,13
Thailand,0,1,0%,13
Ecuador,0,1,0%,27